Run	actual_sex	SCiMS sample ID	SCiMS predicted sex	Total reads mapped	Reads mapped to X	Reads mapped to Y	Rx	Rx 95% CI	Ry	Ry 95% CI	Posterior probability of being male 	Posterior probability of being female 	Status
S430M10000_SRR346690	male	S430M10000_SRR346690	male	4857	116	23	0.454	(0.454, 0.454)	0.1655	(0.104, 0.227)	1.0	0.0	Success
S430M100000_SRR346690	male	S430M100000_SRR346690	male	48977	1128	228	0.4453	(0.445, 0.445)	0.1681	(0.148, 0.188)	1.0	0.0	Success
S430M1000000_SRR346690	male	S430M1000000_SRR346690	male	489319	10634	2321	0.4189	(0.419, 0.419)	0.1792	(0.173, 0.186)	1.0	0.0	Success
S431F150_SRR064532	female	S431F150_SRR064532	female	55	5	0	1.9606	(1.961, 1.961)	0.0	(0.0, 0.0)	0.0	1.0	Success
S431F200_SRR064532	female	S431F200_SRR064532	female	86	2	0	0.4589	(0.459, 0.459)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S431F250_SRR064532	female	S431F250_SRR064532	female	102	5	0	0.9694	(0.969, 0.969)	0.0	(0.0, 0.0)	0.0	1.0	Success
S431F300_SRR064532	female	S431F300_SRR064532	female	128	9	0	1.5155	(1.515, 1.515)	0.0	(0.0, 0.0)	0.0	1.0	Success
S431F350_SRR064532	female	S431F350_SRR064532	female	154	5	0	0.6545	(0.655, 0.655)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S431F400_SRR064532	female	S431F400_SRR064532	female	175	10	0	1.1262	(1.126, 1.126)	0.0	(0.0, 0.0)	0.0	1.0	Success
S431F450_SRR064532	female	S431F450_SRR064532	female	194	6	0	0.5852	(0.585, 0.585)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S431F1000_SRR064532	female	S431F1000_SRR064532	female	450	25	0	1.0752	(1.075, 1.075)	0.0	(0.0, 0.0)	0.0	1.0	Success
S431F5000_SRR064532	female	S431F5000_SRR064532	female	2167	90	0	0.8219	(0.822, 0.822)	0.0	(0.0, 0.0)	0.0	1.0	Success
S431F10000_SRR064532	female	S431F10000_SRR064532	female	4413	214	0	0.9569	(0.957, 0.957)	0.0	(0.0, 0.0)	0.0	1.0	Success
S431F100000_SRR064532	female	S431F100000_SRR064532	female	43478	1840	12	0.8309	(0.831, 0.831)	0.0065	(0.003, 0.01)	0.0	1.0	Success
S431F1000000_SRR064532	female	S431F1000000_SRR064532	female	436874	18724	102	0.8427	(0.843, 0.843)	0.0054	(0.004, 0.006)	0.0	1.0	Success
S431M150_SRR346690	male	S431M150_SRR346690	female	74	2	0	0.5028	(0.503, 0.503)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S431M200_SRR346690	male	S431M200_SRR346690	male	99	0	1	0.0	(-0.0, 0.0)	1.0	(1.0, 1.0)	1.0	0.0	Success
S431M250_SRR346690	male	S431M250_SRR346690	female	125	2	0	0.328	(0.328, 0.328)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S431M300_SRR346690	male	S431M300_SRR346690	male	148	5	2	0.6867	(0.687, 0.687)	0.2857	(-0.049, 0.62)	0.9994	0.0006	Success
S431M350_SRR346690	male	S431M350_SRR346690	male	157	3	1	0.3766	(0.377, 0.377)	0.25	(-0.174, 0.674)	0.9965	0.0035	Success
S431M400_SRR346690	male	S431M400_SRR346690	female	212	3	0	0.2705	(0.27, 0.27)	0.0	(0.0, 0.0)	0.0	1.0	Success
S431M450_SRR346690	male	S431M450_SRR346690	male	226	5	2	0.4273	(0.427, 0.427)	0.2857	(-0.049, 0.62)	0.9999	0.0001	Success
S431M1000_SRR346690	male	S431M1000_SRR346690	male	511	10	3	0.3814	(0.381, 0.381)	0.2308	(0.002, 0.46)	0.9975	0.0025	Success
S431M5000_SRR346690	male	S431M5000_SRR346690	male	2462	50	10	0.392	(0.392, 0.392)	0.1667	(0.072, 0.261)	1.0	0.0	Success
S431M10000_SRR346690	male	S431M10000_SRR346690	male	4951	86	30	0.3372	(0.337, 0.337)	0.2586	(0.179, 0.338)	1.0	0.0	Success
S431M100000_SRR346690	male	S431M100000_SRR346690	male	49047	1098	231	0.4315	(0.431, 0.431)	0.1738	(0.153, 0.194)	1.0	0.0	Success
S431M1000000_SRR346690	male	S431M1000000_SRR346690	male	489648	10693	2279	0.4206	(0.421, 0.421)	0.1757	(0.169, 0.182)	1.0	0.0	Success
S432F150_SRR064532	female	S432F150_SRR064532	female	67	2	0	0.6362	(0.636, 0.636)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S432F200_SRR064532	female	S432F200_SRR064532	female	90	4	0	0.8795	(0.879, 0.879)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S432F250_SRR064532	female	S432F250_SRR064532	female	108	6	0	0.9878	(0.988, 0.988)	0.0	(0.0, 0.0)	0.0	1.0	Success
S432F300_SRR064532	female	S432F300_SRR064532	female	124	7	0	1.1215	(1.122, 1.122)	0.0	(0.0, 0.0)	0.0	1.0	Success
S432F350_SRR064532	female	S432F350_SRR064532	female	151	6	0	0.787	(0.787, 0.787)	0.0	(0.0, 0.0)	0.0002	0.9998	Success
S432F400_SRR064532	female	S432F400_SRR064532	female	171	7	0	0.8124	(0.812, 0.812)	0.0	(0.0, 0.0)	0.0002	0.9998	Success
S432F450_SRR064532	female	S432F450_SRR064532	female	191	6	0	0.5639	(0.564, 0.564)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S432F1000_SRR064532	female	S432F1000_SRR064532	female	422	14	0	0.6216	(0.622, 0.622)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S432F5000_SRR064532	female	S432F5000_SRR064532	female	2138	93	0	0.8613	(0.861, 0.861)	0.0	(0.0, 0.0)	0.0	1.0	Success
