Run	actual_sex	SCiMS sample ID	SCiMS predicted sex	Total reads mapped	Reads mapped to X	Reads mapped to Y	Rx	Rx 95% CI	Ry	Ry 95% CI	Posterior probability of being male 	Posterior probability of being female 	Status
S240F250_SRR064532	female	S240F250_SRR064532	female	107	5	0	0.8885	(0.889, 0.889)	0.0	(0.0, 0.0)	0.0	1.0	Success
S240F300_SRR064532	female	S240F300_SRR064532	female	122	3	0	0.4505	(0.45, 0.45)	0.0	(0.0, 0.0)	0.0003	0.9997	Success
S240F350_SRR064532	female	S240F350_SRR064532	female	140	8	0	1.0783	(1.078, 1.078)	0.0	(0.0, 0.0)	0.0	1.0	Success
S240F400_SRR064532	female	S240F400_SRR064532	female	159	4	0	0.5354	(0.535, 0.535)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S240F450_SRR064532	female	S240F450_SRR064532	female	186	10	0	1.0217	(1.022, 1.022)	0.0	(0.0, 0.0)	0.0	1.0	Success
S240F1000_SRR064532	female	S240F1000_SRR064532	female	400	19	1	0.9261	(0.926, 0.926)	0.05	(-0.046, 0.146)	0.0	1.0	Success
S240F5000_SRR064532	female	S240F5000_SRR064532	female	2215	99	0	0.8765	(0.877, 0.877)	0.0	(0.0, 0.0)	0.0	1.0	Success
S240F10000_SRR064532	female	S240F10000_SRR064532	female	4312	194	2	0.8857	(0.886, 0.886)	0.0102	(-0.004, 0.024)	0.0	1.0	Success
S240F100000_SRR064532	female	S240F100000_SRR064532	female	43626	1943	7	0.8716	(0.872, 0.872)	0.0036	(0.001, 0.006)	0.0	1.0	Success
S240F1000000_SRR064532	female	S240F1000000_SRR064532	female	436959	18709	89	0.841	(0.841, 0.841)	0.0047	(0.004, 0.006)	0.0	1.0	Success
S240M150_SRR346690	male	S240M150_SRR346690	female	75	1	0	0.2574	(0.257, 0.257)	0.0	(0.0, 0.0)	0.0	1.0	Success
S240M200_SRR346690	male	S240M200_SRR346690	female	110	3	0	0.5005	(0.5, 0.5)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S240M250_SRR346690	male	S240M250_SRR346690	female	130	3	0	0.4615	(0.461, 0.461)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S240M300_SRR346690	male	S240M300_SRR346690	female	139	3	0	0.402	(0.402, 0.402)	0.0	(0.0, 0.0)	0.0002	0.9998	Success
S240M350_SRR346690	male	S240M350_SRR346690	female	174	1	0	0.1031	(0.103, 0.103)	0.0	(0.0, 0.0)	0.0	1.0	Success
S240M400_SRR346690	male	S240M400_SRR346690	female	186	6	0	0.6306	(0.631, 0.631)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S240M450_SRR346690	male	S240M450_SRR346690	male	215	3	1	0.2702	(0.27, 0.27)	0.25	(-0.174, 0.674)	0.9918	0.0082	Success
S240M1000_SRR346690	male	S240M1000_SRR346690	male	486	8	3	0.3199	(0.32, 0.32)	0.2727	(0.01, 0.536)	0.9995	0.0005	Success
S240M5000_SRR346690	male	S240M5000_SRR346690	male	2443	50	16	0.3947	(0.395, 0.395)	0.2424	(0.139, 0.346)	1.0	0.0	Success
S240M10000_SRR346690	male	S240M10000_SRR346690	male	4912	102	16	0.3977	(0.398, 0.398)	0.1356	(0.074, 0.197)	0.99	0.01	Success
S240M100000_SRR346690	male	S240M100000_SRR346690	male	48857	1059	246	0.4181	(0.418, 0.418)	0.1885	(0.167, 0.21)	1.0	0.0	Success
S240M1000000_SRR346690	male	S240M1000000_SRR346690	male	489308	10674	2291	0.4205	(0.42, 0.42)	0.1767	(0.17, 0.183)	1.0	0.0	Success
S241F150_SRR064532	female	S241F150_SRR064532	uncertain	69	0	0	0.0	(-0.0, 0.0)		(nan, nan)			Success
S241F200_SRR064532	female	S241F200_SRR064532	female	88	1	0	0.2033	(0.203, 0.203)	0.0	(0.0, 0.0)	0.0	1.0	Success
S241F250_SRR064532	female	S241F250_SRR064532	female	116	4	0	0.708	(0.708, 0.708)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S241F300_SRR064532	female	S241F300_SRR064532	female	132	1	0	0.1424	(0.142, 0.142)	0.0	(0.0, 0.0)	0.0	1.0	Success
S241F350_SRR064532	female	S241F350_SRR064532	female	153	4	0	0.5158	(0.516, 0.516)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S241F400_SRR064532	female	S241F400_SRR064532	female	184	6	0	0.6432	(0.643, 0.643)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S241F450_SRR064532	female	S241F450_SRR064532	female	205	11	0	1.0864	(1.086, 1.086)	0.0	(0.0, 0.0)	0.0	1.0	Success
S241F1000_SRR064532	female	S241F1000_SRR064532	female	458	17	0	0.7188	(0.719, 0.719)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S241F5000_SRR064532	female	S241F5000_SRR064532	female	2252	87	0	0.7517	(0.752, 0.752)	0.0	(0.0, 0.0)	0.0014	0.9986	Success
S241F10000_SRR064532	female	S241F10000_SRR064532	female	4443	205	0	0.9083	(0.908, 0.908)	0.0	(0.0, 0.0)	0.0	1.0	Success
S241F100000_SRR064532	female	S241F100000_SRR064532	female	43558	1819	7	0.8202	(0.82, 0.82)	0.0038	(0.001, 0.007)	0.0	1.0	Success
S241F1000000_SRR064532	female	S241F1000000_SRR064532	female	437178	18666	81	0.839	(0.839, 0.839)	0.0043	(0.003, 0.005)	0.0	1.0	Success
S241M150_SRR346690	male	S241M150_SRR346690	female	74	2	0	0.5059	(0.506, 0.506)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S241M200_SRR346690	male	S241M200_SRR346690	female	99	4	0	0.7759	(0.776, 0.776)	0.0	(0.0, 0.0)	0.0002	0.9998	Success
S241M250_SRR346690	male	S241M250_SRR346690	male	130	2	2	0.2937	(0.294, 0.294)	0.5	(0.01, 0.99)	1.0	0.0	Success
S241M300_SRR346690	male	S241M300_SRR346690	female	145	5	0	0.658	(0.658, 0.658)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S241M350_SRR346690	male	S241M350_SRR346690	uncertain	177	6	1	0.6414	(0.641, 0.641)	0.1429	(-0.116, 0.402)	0.069	0.931	Success
S241M400_SRR346690	male	S241M400_SRR346690	male	204	6	2	0.5799	(0.58, 0.58)	0.25	(-0.05, 0.55)	0.9954	0.0046	Success
S241M450_SRR346690	male	S241M450_SRR346690	female	235	4	0	0.3039	(0.304, 0.304)	0.0	(0.0, 0.0)	0.0	1.0	Success
S241M1000_SRR346690	male	S241M1000_SRR346690	male	480	10	4	0.394	(0.394, 0.394)	0.2857	(0.049, 0.522)	0.9999	0.0001	Success
S241M5000_SRR346690	male	S241M5000_SRR346690	male	2524	58	10	0.4423	(0.442, 0.442)	0.1471	(0.063, 0.231)	0.9999	0.0001	Success
S241M10000_SRR346690	male	S241M10000_SRR346690	male	4876	87	28	0.3475	(0.348, 0.348)	0.2435	(0.165, 0.322)	1.0	0.0	Success
S241M100000_SRR346690	male	S241M100000_SRR346690	male	48947	1075	215	0.4221	(0.422, 0.422)	0.1667	(0.146, 0.187)	1.0	0.0	Success
S241M1000000_SRR346690	male	S241M1000000_SRR346690	male	489452	10564	2242	0.4156	(0.416, 0.416)	0.1751	(0.168, 0.182)	1.0	0.0	Success
S242F150_SRR064532	female	S242F150_SRR064532	female	51	3	0	1.2093	(1.209, 1.209)	0.0	(0.0, 0.0)	0.0	1.0	Success
S242F200_SRR064532	female	S242F200_SRR064532	female	86	2	0	0.4452	(0.445, 0.445)	0.0	(0.0, 0.0)	0.0003	0.9997	Success
S242F250_SRR064532	female	S242F250_SRR064532	female	122	3	0	0.4671	(0.467, 0.467)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S242F300_SRR064532	female	S242F300_SRR064532	female	111	8	0	1.4286	(1.429, 1.429)	0.0	(0.0, 0.0)	0.0	1.0	Success
S242F350_SRR064532	female	S242F350_SRR064532	female	140	4	0	0.5844	(0.584, 0.584)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S242F400_SRR064532	female	S242F400_SRR064532	uncertain	170	6	1	0.6573	(0.657, 0.657)	0.1429	(-0.116, 0.402)	0.0612	0.9388	Success
S242F450_SRR064532	female	S242F450_SRR064532	female	197	8	0	0.8245	(0.824, 0.824)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S242F1000_SRR064532	female	S242F1000_SRR064532	female	449	15	0	0.6449	(0.645, 0.645)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S242F5000_SRR064532	female	S242F5000_SRR064532	female	2207	88	2	0.7935	(0.794, 0.794)	0.0222	(-0.008, 0.053)	0.0001	0.9999	Success
S242F10000_SRR064532	female	S242F10000_SRR064532	female	4504	200	1	0.874	(0.874, 0.874)	0.005	(-0.005, 0.015)	0.0	1.0	Success
S242F100000_SRR064532	female	S242F100000_SRR064532	female	43488	1923	14	0.87	(0.87, 0.87)	0.0072	(0.003, 0.011)	0.0	1.0	Success
S242F1000000_SRR064532	female	S242F1000000_SRR064532	female	437082	18834	94	0.8478	(0.848, 0.848)	0.005	(0.004, 0.006)	0.0	1.0	Success
S242M150_SRR346690	male	S242M150_SRR346690	female	71	2	0	0.5514	(0.551, 0.551)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S242M200_SRR346690	male	S242M200_SRR346690	female	109	4	0	0.6725	(0.673, 0.673)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S242M250_SRR346690	male	S242M250_SRR346690	female	118	2	0	0.3345	(0.334, 0.334)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S242M300_SRR346690	male	S242M300_SRR346690	uncertain	147	4	1	0.5172	(0.517, 0.517)	0.2	(-0.151, 0.551)	0.8406	0.1594	Success
S242M350_SRR346690	male	S242M350_SRR346690	female	158	3	0	0.3514	(0.351, 0.351)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S242M400_SRR346690	male	S242M400_SRR346690	male	191	3	1	0.31	(0.31, 0.31)	0.25	(-0.174, 0.674)	0.9945	0.0055	Success
S242M450_SRR346690	male	S242M450_SRR346690	male	206	2	1	0.1867	(0.187, 0.187)	0.3333	(-0.2, 0.867)	1.0	0.0	Success
S242M1000_SRR346690	male	S242M1000_SRR346690	uncertain	481	12	2	0.4929	(0.493, 0.493)	0.1429	(-0.04, 0.326)	0.1054	0.8946	Success
S242M5000_SRR346690	male	S242M5000_SRR346690	uncertain	2451	52	6	0.4108	(0.411, 0.411)	0.1034	(0.025, 0.182)	0.2124	0.7876	Success
S242M10000_SRR346690	male	S242M10000_SRR346690	male	4888	107	26	0.416	(0.416, 0.416)	0.1955	(0.128, 0.263)	1.0	0.0	Success
S242M100000_SRR346690	male	S242M100000_SRR346690	male	49179	1044	218	0.4077	(0.408, 0.408)	0.1727	(0.152, 0.194)	1.0	0.0	Success
S242M1000000_SRR346690	male	S242M1000000_SRR346690	male	489690	10636	2238	0.4186	(0.419, 0.419)	0.1738	(0.167, 0.18)	1.0	0.0	Success
S243F150_SRR064532	female	S243F150_SRR064532	female	70	3	0	0.8154	(0.815, 0.815)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S243F200_SRR064532	female	S243F200_SRR064532	female	80	1	0	0.2232	(0.223, 0.223)	0.0	(0.0, 0.0)	0.0	1.0	Success
S243F250_SRR064532	female	S243F250_SRR064532	female	119	2	0	0.3209	(0.321, 0.321)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S243F300_SRR064532	female	S243F300_SRR064532	female	131	4	0	0.5895	(0.589, 0.589)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S243F350_SRR064532	female	S243F350_SRR064532	female	143	3	0	0.3598	(0.36, 0.36)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S243F400_SRR064532	female	S243F400_SRR064532	female	181	7	0	0.7708	(0.771, 0.771)	0.0	(0.0, 0.0)	0.0002	0.9998	Success
S243F450_SRR064532	female	S243F450_SRR064532	female	174	11	0	1.3233	(1.323, 1.323)	0.0	(0.0, 0.0)	0.0	1.0	Success
S243F1000_SRR064532	female	S243F1000_SRR064532	female	421	16	1	0.7441	(0.744, 0.744)	0.0588	(-0.053, 0.171)	0.001	0.999	Success
S243F5000_SRR064532	female	S243F5000_SRR064532	female	2161	81	0	0.7329	(0.733, 0.733)	0.0	(0.0, 0.0)	0.0028	0.9972	Success
S243F10000_SRR064532	female	S243F10000_SRR064532	female	4298	197	1	0.9011	(0.901, 0.901)	0.0051	(-0.005, 0.015)	0.0	1.0	Success
S243F100000_SRR064532	female	S243F100000_SRR064532	female	43588	1880	12	0.8501	(0.85, 0.85)	0.0063	(0.003, 0.01)	0.0	1.0	Success
S243F1000000_SRR064532	female	S243F1000000_SRR064532	female	437332	18833	85	0.8463	(0.846, 0.846)	0.0045	(0.004, 0.005)	0.0	1.0	Success
S243M150_SRR346690	male	S243M150_SRR346690	male	75	1	1	0.2592	(0.259, 0.259)	0.5	(-0.193, 1.193)	1.0	0.0	Success
S243M200_SRR346690	male	S243M200_SRR346690	male	107	3	2	0.5341	(0.534, 0.534)	0.4	(-0.029, 0.829)	1.0	0.0	Success
S243M250_SRR346690	male	S243M250_SRR346690	female	121	3	0	0.5018	(0.502, 0.502)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S243M300_SRR346690	male	S243M300_SRR346690	male	163	2	2	0.2229	(0.223, 0.223)	0.5	(0.01, 0.99)	1.0	0.0	Success
S243M350_SRR346690	male	S243M350_SRR346690	male	175	2	2	0.2233	(0.223, 0.223)	0.5	(0.01, 0.99)	1.0	0.0	Success
S243M400_SRR346690	male	S243M400_SRR346690	uncertain	185	8	2	0.8502	(0.85, 0.85)	0.2	(-0.048, 0.448)	0.0862	0.9138	Success
S243M450_SRR346690	male	S243M450_SRR346690	female	199	3	0	0.2946	(0.295, 0.295)	0.0	(0.0, 0.0)	0.0	1.0	Success
S243M1000_SRR346690	male	S243M1000_SRR346690	uncertain	469	14	3	0.59	(0.59, 0.59)	0.1765	(-0.005, 0.358)	0.436	0.564	Success
S243M5000_SRR346690	male	S243M5000_SRR346690	male	2403	53	15	0.4294	(0.429, 0.429)	0.2206	(0.122, 0.319)	1.0	0.0	Success
S243M10000_SRR346690	male	S243M10000_SRR346690	male	4962	94	20	0.3629	(0.363, 0.363)	0.1754	(0.106, 0.245)	1.0	0.0	Success
S243M100000_SRR346690	male	S243M100000_SRR346690	male	48847	1038	237	0.408	(0.408, 0.408)	0.1859	(0.165, 0.207)	1.0	0.0	Success
S243M1000000_SRR346690	male	S243M1000000_SRR346690	male	489031	10581	2302	0.4169	(0.417, 0.417)	0.1787	(0.172, 0.185)	1.0	0.0	Success
S244F150_SRR064532	female	S244F150_SRR064532	female	60	1	0	0.3137	(0.314, 0.314)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S244F200_SRR064532	female	S244F200_SRR064532	female	83	6	0	1.501	(1.501, 1.501)	0.0	(0.0, 0.0)	0.0	1.0	Success
S244F250_SRR064532	female	S244F250_SRR064532	female	112	2	0	0.3336	(0.334, 0.334)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S244F300_SRR064532	female	S244F300_SRR064532	female	143	6	0	0.8527	(0.853, 0.853)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S244F350_SRR064532	female	S244F350_SRR064532	female	144	5	0	0.6476	(0.648, 0.648)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S244F400_SRR064532	female	S244F400_SRR064532	female	170	8	0	0.9526	(0.953, 0.953)	0.0	(0.0, 0.0)	0.0	1.0	Success
S244F450_SRR064532	female	S244F450_SRR064532	female	190	8	0	0.8299	(0.83, 0.83)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S244F1000_SRR064532	female	S244F1000_SRR064532	female	446	22	0	0.9943	(0.994, 0.994)	0.0	(0.0, 0.0)	0.0	1.0	Success
S244F5000_SRR064532	female	S244F5000_SRR064532	female	2131	88	0	0.8107	(0.811, 0.811)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S244F10000_SRR064532	female	S244F10000_SRR064532	female	4336	183	1	0.8306	(0.831, 0.831)	0.0054	(-0.005, 0.016)	0.0	1.0	Success
S244F100000_SRR064532	female	S244F100000_SRR064532	female	43726	1859	5	0.835	(0.835, 0.835)	0.0027	(0.0, 0.005)	0.0	1.0	Success
S244F1000000_SRR064532	female	S244F1000000_SRR064532	female	436394	18775	95	0.8445	(0.844, 0.844)	0.005	(0.004, 0.006)	0.0	1.0	Success
S244M150_SRR346690	male	S244M150_SRR346690	female	76	1	0	0.2462	(0.246, 0.246)	0.0	(0.0, 0.0)	0.0	1.0	Success
S244M200_SRR346690	male	S244M200_SRR346690	male	94	2	1	0.4071	(0.407, 0.407)	0.3333	(-0.2, 0.867)	1.0	0.0	Success
S244M250_SRR346690	male	S244M250_SRR346690	female	118	1	0	0.1669	(0.167, 0.167)	0.0	(0.0, 0.0)	0.0	1.0	Success
S244M300_SRR346690	male	S244M300_SRR346690	male	138	1	1	0.1374	(0.137, 0.137)	0.5	(-0.193, 1.193)	1.0	0.0	Success
S244M350_SRR346690	male	S244M350_SRR346690	uncertain	154	4	1	0.4862	(0.486, 0.486)	0.2	(-0.151, 0.551)	0.8449	0.1551	Success
S244M400_SRR346690	male	S244M400_SRR346690	male	184	3	1	0.3282	(0.328, 0.328)	0.25	(-0.174, 0.674)	0.9953	0.0047	Success
S244M450_SRR346690	male	S244M450_SRR346690	male	232	2	1	0.16	(0.16, 0.16)	0.3333	(-0.2, 0.867)	1.0	0.0	Success
S244M1000_SRR346690	male	S244M1000_SRR346690	female	487	12	0	0.474	(0.474, 0.474)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S244M5000_SRR346690	male	S244M5000_SRR346690	male	2372	60	12	0.4937	(0.494, 0.494)	0.1667	(0.081, 0.253)	1.0	0.0	Success
S244M10000_SRR346690	male	S244M10000_SRR346690	uncertain	4845	111	11	0.4357	(0.436, 0.436)	0.0902	(0.039, 0.141)	0.0904	0.9096	Success
S244M100000_SRR346690	male	S244M100000_SRR346690	male	48885	1092	204	0.431	(0.431, 0.431)	0.1574	(0.138, 0.177)	1.0	0.0	Success
S244M1000000_SRR346690	male	S244M1000000_SRR346690	male	489235	10594	2259	0.4174	(0.417, 0.417)	0.1758	(0.169, 0.182)	1.0	0.0	Success
S245F150_SRR064532	female	S245F150_SRR064532	female	62	4	0	1.3415	(1.341, 1.341)	0.0	(0.0, 0.0)	0.0	1.0	Success
S245F200_SRR064532	female	S245F200_SRR064532	female	95	3	0	0.6738	(0.674, 0.674)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S245F250_SRR064532	female	S245F250_SRR064532	female	123	4	0	0.6226	(0.623, 0.623)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S245F300_SRR064532	female	S245F300_SRR064532	female	125	5	0	0.826	(0.826, 0.826)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S245F350_SRR064532	female	S245F350_SRR064532	female	139	11	0	1.6544	(1.654, 1.654)	0.0	(0.0, 0.0)	0.0	1.0	Success
S245F400_SRR064532	female	S245F400_SRR064532	female	189	8	0	0.8716	(0.872, 0.872)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S245F450_SRR064532	female	S245F450_SRR064532	female	215	11	0	0.953	(0.953, 0.953)	0.0	(0.0, 0.0)	0.0	1.0	Success
S245F1000_SRR064532	female	S245F1000_SRR064532	female	441	18	0	0.8172	(0.817, 0.817)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S245F5000_SRR064532	female	S245F5000_SRR064532	female	2176	92	1	0.8225	(0.823, 0.823)	0.0108	(-0.01, 0.032)	0.0	1.0	Success
S245F10000_SRR064532	female	S245F10000_SRR064532	female	4360	205	2	0.9315	(0.931, 0.931)	0.0097	(-0.004, 0.023)	0.0	1.0	Success
S245F100000_SRR064532	female	S245F100000_SRR064532	female	43697	1863	10	0.836	(0.836, 0.836)	0.0053	(0.002, 0.009)	0.0	1.0	Success
S245F1000000_SRR064532	female	S245F1000000_SRR064532	female	436795	18630	89	0.8372	(0.837, 0.837)	0.0048	(0.004, 0.006)	0.0	1.0	Success
S245M150_SRR346690	male	S245M150_SRR346690	male	73	0	2	0.0	(-0.0, 0.0)	1.0	(1.0, 1.0)	1.0	0.0	Success
S245M200_SRR346690	male	S245M200_SRR346690	female	89	1	0	0.2073	(0.207, 0.207)	0.0	(0.0, 0.0)	0.0	1.0	Success
S245M250_SRR346690	male	S245M250_SRR346690	male	129	1	1	0.1533	(0.153, 0.153)	0.5	(-0.193, 1.193)	1.0	0.0	Success
S245M300_SRR346690	male	S245M300_SRR346690	female	160	6	0	0.734	(0.734, 0.734)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S245M350_SRR346690	male	S245M350_SRR346690	female	200	3	0	0.2937	(0.294, 0.294)	0.0	(0.0, 0.0)	0.0	1.0	Success
S245M400_SRR346690	male	S245M400_SRR346690	male	192	3	1	0.2985	(0.299, 0.299)	0.25	(-0.174, 0.674)	0.9939	0.0061	Success
S245M450_SRR346690	male	S245M450_SRR346690	male	205	3	3	0.2678	(0.268, 0.268)	0.5	(0.1, 0.9)	1.0	0.0	Success
S245M1000_SRR346690	male	S245M1000_SRR346690	uncertain	482	8	2	0.3089	(0.309, 0.309)	0.2	(-0.048, 0.448)	0.6826	0.3174	Success
S245M5000_SRR346690	male	S245M5000_SRR346690	uncertain	2433	47	7	0.3699	(0.37, 0.37)	0.1296	(0.04, 0.219)	0.8429	0.1571	Success
S245M10000_SRR346690	male	S245M10000_SRR346690	male	4897	105	28	0.414	(0.414, 0.414)	0.2105	(0.141, 0.28)	1.0	0.0	Success
S245M100000_SRR346690	male	S245M100000_SRR346690	male	48897	1077	202	0.424	(0.424, 0.424)	0.1579	(0.138, 0.178)	1.0	0.0	Success
S245M1000000_SRR346690	male	S245M1000000_SRR346690	male	489553	10579	2278	0.4166	(0.417, 0.417)	0.1772	(0.171, 0.184)	1.0	0.0	Success
S246F150_SRR064532	female	S246F150_SRR064532	female	56	4	0	1.4378	(1.438, 1.438)	0.0	(0.0, 0.0)	0.0	1.0	Success
S246F200_SRR064532	female	S246F200_SRR064532	female	85	4	0	0.8011	(0.801, 0.801)	0.0	(0.0, 0.0)	0.0002	0.9998	Success
S246F250_SRR064532	female	S246F250_SRR064532	female	101	5	0	0.9928	(0.993, 0.993)	0.0	(0.0, 0.0)	0.0	1.0	Success
S246F300_SRR064532	female	S246F300_SRR064532	female	137	10	1	1.5269	(1.527, 1.527)	0.0909	(-0.079, 0.261)	0.0	1.0	Success
S246F350_SRR064532	female	S246F350_SRR064532	female	156	5	0	0.5867	(0.587, 0.587)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S246F400_SRR064532	female	S246F400_SRR064532	female	174	8	0	0.9739	(0.974, 0.974)	0.0	(0.0, 0.0)	0.0	1.0	Success
S246F450_SRR064532	female	S246F450_SRR064532	female	183	8	0	0.8608	(0.861, 0.861)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S246F1000_SRR064532	female	S246F1000_SRR064532	female	437	21	0	0.94	(0.94, 0.94)	0.0	(0.0, 0.0)	0.0	1.0	Success
S246F5000_SRR064532	female	S246F5000_SRR064532	female	2185	100	1	0.9167	(0.917, 0.917)	0.0099	(-0.009, 0.029)	0.0	1.0	Success
S246F10000_SRR064532	female	S246F10000_SRR064532	female	4392	206	0	0.9178	(0.918, 0.918)	0.0	(0.0, 0.0)	0.0	1.0	Success
S246F100000_SRR064532	female	S246F100000_SRR064532	female	43625	1858	11	0.8353	(0.835, 0.835)	0.0059	(0.002, 0.009)	0.0	1.0	Success
S246F1000000_SRR064532	female	S246F1000000_SRR064532	female	437203	18722	89	0.8417	(0.842, 0.842)	0.0047	(0.004, 0.006)	0.0	1.0	Success
S246M150_SRR346690	male	S246M150_SRR346690	female	81	4	1	1.011	(1.011, 1.011)	0.2	(-0.151, 0.551)	0.0012	0.9988	Success
S246M200_SRR346690	male	S246M200_SRR346690	male	88	3	1	0.6279	(0.628, 0.628)	0.25	(-0.174, 0.674)	0.993	0.007	Success
S246M250_SRR346690	male	S246M250_SRR346690	uncertain	113	5	2	0.9172	(0.917, 0.917)	0.2857	(-0.049, 0.62)	0.908	0.092	Success
S246M300_SRR346690	male	S246M300_SRR346690	uncertain	149	0	0	0.0	(-0.0, 0.0)		(nan, nan)			Success
S246M350_SRR346690	male	S246M350_SRR346690	female	149	3	0	0.3695	(0.37, 0.37)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S246M400_SRR346690	male	S246M400_SRR346690	female	197	5	0	0.471	(0.471, 0.471)	0.0	(0.0, 0.0)	0.0004	0.9996	Success
S246M450_SRR346690	male	S246M450_SRR346690	male	221	5	2	0.4038	(0.404, 0.404)	0.2857	(-0.049, 0.62)	0.9999	0.0001	Success
S246M1000_SRR346690	male	S246M1000_SRR346690	female	497	10	1	0.3732	(0.373, 0.373)	0.0909	(-0.079, 0.261)	0.0036	0.9964	Success
S246M5000_SRR346690	male	S246M5000_SRR346690	male	2459	46	11	0.3602	(0.36, 0.36)	0.193	(0.091, 0.295)	1.0	0.0	Success
S246M10000_SRR346690	male	S246M10000_SRR346690	male	4900	91	19	0.3523	(0.352, 0.352)	0.1727	(0.102, 0.243)	1.0	0.0	Success
S246M100000_SRR346690	male	S246M100000_SRR346690	male	48866	1076	227	0.4259	(0.426, 0.426)	0.1742	(0.154, 0.195)	1.0	0.0	Success
S246M1000000_SRR346690	male	S246M1000000_SRR346690	male	490114	10672	2248	0.4196	(0.42, 0.42)	0.174	(0.167, 0.181)	1.0	0.0	Success
S247F150_SRR064532	female	S247F150_SRR064532	female	68	2	0	0.5926	(0.593, 0.593)	0.0	(0.0, 0.0)	0.0006	0.9994	Success
S247F200_SRR064532	female	S247F200_SRR064532	female	83	5	0	1.1321	(1.132, 1.132)	0.0	(0.0, 0.0)	0.0	1.0	Success
S247F250_SRR064532	female	S247F250_SRR064532	female	112	3	0	0.5027	(0.503, 0.503)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S247F300_SRR064532	female	S247F300_SRR064532	female	135	6	0	0.8058	(0.806, 0.806)	0.0	(0.0, 0.0)	0.0002	0.9998	Success
S247F350_SRR064532	female	S247F350_SRR064532	female	139	6	0	0.8385	(0.838, 0.838)	0.0	(0.0, 0.0)	0.0001	0.9999	Success
S247F400_SRR064532	female	S247F400_SRR064532	female	174	6	0	0.6816	(0.682, 0.682)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S247F450_SRR064532	female	S247F450_SRR064532	female	186	4	0	0.4184	(0.418, 0.418)	0.0	(0.0, 0.0)	0.0003	0.9997	Success
S247F1000_SRR064532	female	S247F1000_SRR064532	female	413	19	0	0.918	(0.918, 0.918)	0.0	(0.0, 0.0)	0.0	1.0	Success
S247F5000_SRR064532	female	S247F5000_SRR064532	female	2174	91	1	0.8138	(0.814, 0.814)	0.0109	(-0.01, 0.032)	0.0	1.0	Success
S247F10000_SRR064532	female	S247F10000_SRR064532	female	4455	188	2	0.8316	(0.832, 0.832)	0.0105	(-0.004, 0.025)	0.0	1.0	Success
S247F100000_SRR064532	female	S247F100000_SRR064532	female	43966	1849	14	0.8253	(0.825, 0.825)	0.0075	(0.004, 0.011)	0.0	1.0	Success
S247F1000000_SRR064532	female	S247F1000000_SRR064532	female	436934	18796	97	0.8454	(0.845, 0.845)	0.0051	(0.004, 0.006)	0.0	1.0	Success
S247M150_SRR346690	male	S247M150_SRR346690	female	78	2	0	0.5007	(0.501, 0.501)	0.0	(0.0, 0.0)	0.0005	0.9995	Success
S247M200_SRR346690	male	S247M200_SRR346690	uncertain	103	4	1	0.709	(0.709, 0.709)	0.2	(-0.151, 0.551)	0.541	0.459	Success
